ROW_ID,CGID,LABEL,DESCRIPTION
15,14077,,
3163,17115,,
4271,18220,,
6954,20906,,
6318,20321,,
5339,19342,,
5767,19720,,
3159,17111,,
4922,18858,,
7291,21542,,
3485,17486,,
7266,21517,,
2718,16718,,
5735,19688,,
4380,18381,,
7303,21554,,
871,14871,,
4549,18550,,
7319,21570,,
7301,21552,,
7298,21549,,
1395,15330,,
7281,21532,,
228,14003,,
7302,21553,,
7269,21520,,
7257,21508,,
7283,21534,,
7003,20955,,
2883,16883,,
3641,17642,,
7304,21555,,
5773,19726,,
7268,21519,,
7309,21560,,
7265,21516,,
7314,21565,,
7279,21530,,
1396,15331,,
4778,19177,,
7267,21518,,
5543,19546,,
7272,21523,,
7306,21557,,
1734,15734,,
6393,20396,,
3123,17075,D,
53,14115,H,
4593,18594,AA,
229,14004,AR,
6514,20517,DI,
592,14523,DI,
1263,15198,DI,
2192,16138,DI,
6324,20327,DI,
1952,15952,DI,
3757,17758,DI,
918,14918,DI,
3864,17813,DI,
2442,16388,DI,
4034,17983,DI,
5629,19632,DI,
3520,17521,DI,
3197,17149,DI,
6245,20248,DI,
5378,19381,DI,
3523,17524,DR,
3458,17459,Dr,
6817,20769,IS,
3821,18280,LS,
786,14786,MD,
854,14854,MD,
134,14196,MD,
412,14343,MD,
432,14363,MD,
3459,17460,MD,
3210,17162,MD,
4658,18660,MD,
1175,15175,MD,
1635,15570,MD,
1186,15589,MD,
4813,18748,MD,
7507,21216,MD,
6189,20192,MD,
5564,19567,MD,
35,14097,MD,
44,14106,MD,
3424,17425,MD,
3131,17083,MD,
1060,15060,MD,
1155,15155,MD,
1325,15260,MD,
1335,15270,MD,
1181,15584,MD,
1747,15747,MD,
2443,16389,MD,
4755,19154,MD,
5413,19416,MD,
4814,18749,MD,
5044,18980,MD,
3617,17618,MD,
4526,18527,MD,
7446,21155,MD,
5742,19695,MD,
5820,19773,MD,
7130,21381,MD,
274,14049,MD,
277,14052,MD,
113,14175,MD,
214,14276,MD,
421,14352,MD,
427,14358,MD,
454,14385,MD,
2159,16105,MD,
3020,17371,MD,
3466,17467,MD,
2936,16936,MD,
3201,17153,MD,
3209,17161,MD,
3349,17301,MD,
1096,15096,MD,
1349,15284,MD,
2638,16638,MD,
5316,19319,MD,
4817,18752,MD,
