ROW_ID,ITEMID,LABEL,FLUID,CATEGORY,LOINC_CODE
1,50800,SPECIMEN TYPE,BLOOD,BLOOD GAS,
743,51545,VOIDED SPECIMEN,BLOOD,BLOOD GAS,
742,51544,VOIDED SPECIMEN,OTHER BODY FLUID,BLOOD GAS,
4,50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,1959-6
15,50814,Methemoglobin,Blood,Blood Gas,2614-6
12,50811,Hemoglobin,Blood,Blood Gas,718-7
9,50808,Free Calcium,Blood,Blood Gas,1994-3
21,50820,pH,Blood,Blood Gas,11558-4
3,50802,Base Excess,Blood,Blood Gas,11555-0
16,50815,O2 Flow,Blood,Blood Gas,3151-8
10,50809,Glucose,Blood,Blood Gas,2339-0
27,50826,Tidal Volume,Blood,Blood Gas,20112-9
17,50816,Oxygen,Blood,Blood Gas,19994-3
8,50807,Comments,Blood,Blood Gas,
19,50818,pCO2,Blood,Blood Gas,11557-6
29,50828,Ventilator,Blood,Blood Gas,
14,50813,Lactate,Blood,Blood Gas,32693-4
2,50801,Alveolar-arterial Gradient,Blood,Blood Gas,19991-9
18,50817,Oxygen Saturation,Blood,Blood Gas,20564-1
23,50822,"Potassium, Whole Blood",Blood,Blood Gas,6298-4
11,50810,"Hematocrit, Calculated",Blood,Blood Gas,20570-8
6,50805,Carboxyhemoglobin,Blood,Blood Gas,20563-3
28,50827,Ventilation Rate,Blood,Blood Gas,
25,50824,"Sodium, Whole Blood",Blood,Blood Gas,2947-0
24,50823,Required O2,Blood,Blood Gas,
13,50812,Intubated,Blood,Blood Gas,
26,50825,Temperature,Blood,Blood Gas,
7,50806,"Chloride, Whole Blood",Blood,Blood Gas,2069-3
22,50821,pO2,Blood,Blood Gas,11556-8
20,50819,PEEP,Blood,Blood Gas,20077-4
5,50804,Calculated Total CO2,Blood,Blood Gas,34728-6
31,50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,2023-0
32,50831,pH,Other Body Fluid,Blood Gas,2748-2
30,50829,Fluid Type,Other Body Fluid,Blood Gas,14725-6
34,50833,Potassium,Other Body Fluid,Blood Gas,2821-7
35,50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,2950-4
33,50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,2706-0
744,51546,VOIDED SPECIMEN,CSF,CHEMISTRY,
750,51552,VOIDED SPECIMEN,STOOL,CHEMISTRY,
747,51549,VOIDED SPECIMEN,ASCITES,CHEMISTRY,
726,51526,FRUCAMN+,BLOOD,CHEMISTRY,
727,51527,MS-DIA,BLOOD,CHEMISTRY,
729,51529,Estimated Actual Glucose,BLOOD,CHEMISTRY,
725,51525,Billed,BLOOD,CHEMISTRY,
728,51528,STDY HOLD,BLOOD,CHEMISTRY,
738,51540,PROBLEM SPECIMEN,BLOOD,CHEMISTRY,
720,51520,ANTI-MC,BLOOD,CHEMISTRY,32042-4
741,51543,VOIDED SPECIMEN,BLOOD,CHEMISTRY,
721,51521,"ACID PHOSPHATASE, PROSTATIC",BLOOD,CHEMISTRY,
723,51523,GR HOLD,URINE,CHEMISTRY,
751,51553,VOIDED SPECIMEN,URINE,CHEMISTRY,
731,51531,STDYURINE,URINE,CHEMISTRY,
753,51555,SURFACTANT ALBUMIN RATIO,OTHER BODY FLUID,CHEMISTRY,
722,51522,PG,OTHER BODY FLUID,CHEMISTRY,48785-0
745,51547,VOIDED SPECIMEN,OTHER BODY FLUID,CHEMISTRY,
730,51530,AF-AFP,OTHER BODY FLUID,CHEMISTRY,
108,50907,"Cholesterol, Total",Blood,Chemistry,2093-3
138,50937,Hepatitis A Virus Antibody,Blood,Chemistry,5183-9
159,50958,Luteinizing Hormone,Blood,Chemistry,1599-0
177,50976,"Protein, Total",Blood,Chemistry,2885-2
88,50887,Blue Top Hold,Blood,Chemistry,
95,50894,Calculated Free Testosterone,Blood,Chemistry,2991-8
102,50901,Centromere,Blood,Chemistry,16570-4
60,50859,"Acid Phosphatase, Non-Prostatic",Blood,Chemistry,
174,50973,Prolactin,Blood,Chemistry,2842-3
56,50855,Absolute Hemoglobin,Blood,Chemistry,718-7
63,50862,Albumin,Blood,Chemistry,1751-7
69,50868,Anion Gap,Blood,Chemistry,1863-0
123,50922,Ethanol,Blood,Chemistry,5642-4
134,50933,Green Top Hold (plasma),Blood,Chemistry,
180,50979,Red Top Hold,Blood,Chemistry,
119,50918,Double Stranded DNA,Blood,Chemistry,5130-0
200,51000,Triglycerides,Blood,Chemistry,1644-4
133,50932,Gray Top Hold (plasma),Blood,Chemistry,
129,50928,Gastrin,Blood,Chemistry,2333-3
132,50931,Glucose,Blood,Chemistry,2345-7
161,50960,Magnesium,Blood,Chemistry,2601-3
178,50977,Quinidine,Blood,Chemistry,6694-4
197,50997,Tobramycin,Blood,Chemistry,35670-9
198,50998,Transferrin,Blood,Chemistry,2500-7
203,51003,Troponin T,Blood,Chemistry,6598-7
186,50985,Study Tubes,Blood,Chemistry,
130,50929,Gentamicin,Blood,Chemistry,35668-3
142,50941,Hepatitis B Surface Antigen,Blood,Chemistry,5196-1
169,50968,"Phenytoin, Free",Blood,Chemistry,3969-3
206,51006,Urea Nitrogen,Blood,Chemistry,3094-0
53,50852,% Hemoglobin A1c,Blood,Chemistry,4548-4
76,50875,Anti-Parietal Cell Antibody,Blood,Chemistry,26969-6
156,50955,Light Green Top Hold,Blood,Chemistry,
85,50884,"Bilirubin, Indirect",Blood,Chemistry,1971-1
57,50856,Acetaminophen,Blood,Chemistry,3297-9
114,50913,Cryoglobulin,Blood,Chemistry,5117-7
183,50982,Sex Hormone Binding Globulin,Blood,Chemistry,2942-1
59,50858,Acid Phosphatase,Blood,Chemistry,1715-2
149,50948,Immunofixation,Blood,Chemistry,49275-1
172,50971,Potassium,Blood,Chemistry,2823-3
181,50980,Rheumatoid Factor,Blood,Chemistry,6928-6
160,50959,Macro Prolactin,Blood,Chemistry,
83,50882,Bicarbonate,Blood,Chemistry,1963-8
141,50940,Hepatitis B Surface Antibody,Blood,Chemistry,5193-8
165,50964,"Osmolality, Measured",Blood,Chemistry,2692-2
182,50981,Salicylate,Blood,Chemistry,4023-8
162,50961,Methotrexate,Blood,Chemistry,
55,50854,Absolute A1c,Blood,Chemistry,4548-4
58,50857,Acetone,Blood,Chemistry,5567-3
80,50879,Barbiturate Screen,Blood,Chemistry,3376-1
117,50916,DHEA-Sulfate,Blood,Chemistry,2191-5
66,50865,Amikacin,Blood,Chemistry,
98,50897,Call,Blood,Chemistry,
185,50984,Stat,Blood,Chemistry,
71,50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,7893-1
106,50905,"Cholesterol, LDL, Calculated",Blood,Chemistry,2090-9
175,50974,Prostate Specific Antigen,Blood,Chemistry,2857-1
131,50930,Globulin,Blood,Chemistry,2336-6
136,50935,Haptoglobin,Blood,Chemistry,4542-7
166,50965,Parathyroid Hormone,Blood,Chemistry,2731-8
99,50898,Cancer Antigen 27.29,Blood,Chemistry,17842-6
140,50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry,31204-1
